name,category,full_address,city,state,zip,phone,website,cuisine,hours,lat,lon
Barfield Murphy Shank & Smith LLC,Accountant,,Auburn,AL,,,,,,32.6067003,-85.4802438
"Eden Scott & Associates, P.C.",Accountant,201 North Dean Road,Auburn,AL,,,,,,32.6155666,-85.4639793
Ellis Harper Advertising,Advertising Agency,,Auburn,AL,,,,,,32.6145144,-85.4701483
Lee County Humane Society,Animal Shelter,1140 Ware Drive,Auburn,AL,36832,,,,,32.6195339,-85.5053687
Downtowner Apartments,Apartment,156 East Magnolia Avenue,Auburn,AL,36830,+1-334-329-0708,,,,32.6064021,-85.4803691
Moores Mill Place,Apartment,429 Moores Mill Road,Auburn,AL,36830,,,,,32.5974837,-85.4735019
Auburn Art,Art,102 North College Street,Auburn,AL,,+1-334-887-7788,https://auburnart.com/,,Mo-Sa 10:00-19:00; Su 12:00-17:00,32.6067751,-85.4815397
The Gallery at Vignettes,Art,,Auburn,AL,,,,,,32.6067936,-85.4745206
Bent,Artwork,,Auburn,AL,,,,,,32.6054164,-85.4874807
Bo Jackson,Artwork,,Auburn,AL,,,,,,32.6015277,-85.4881099
Cam Newton,Artwork,,Auburn,AL,,,,,,32.6012999,-85.4883599
Charles Barkley,Artwork,,Auburn,AL,,,,,,32.602131,-85.4923738
Eta Kappa Nu,Artwork,,Auburn,AL,,,,,,32.6063949,-85.4844618
John Heisman,Artwork,,Auburn,AL,,,,,,32.6016188,-85.4879864
Monody,Artwork,,Auburn,AL,,,,,,32.5982108,-85.4861187
Pat Sullivan,Artwork,,Auburn,AL,,,,,,32.6017546,-85.4879442
Civil War Cannon Lathe,Attraction,,Auburn,AL,,,,,,32.6050083,-85.4826767
Founders' Oak,Attraction,,Auburn,AL,,,,,,32.5961541,-85.4833883
University Seal,Attraction,,Auburn,AL,,,,,,32.6053803,-85.482551
Mavis Tires & Brakes,Auto Repair,1646 South College Street,Auburn,AL,36832,,,,,32.5759362,-85.4990301
Pep Boys,Auto Repair,,Auburn,AL,,,,,,32.5810333,-85.4942255
Whitt's Auto Service Center,Auto Repair,461 Opelika Road,Auburn,AL,36830,,,,,32.6138207,-85.4726945
Auburn Bank,Bank,,Auburn,AL,,,,,,32.6095697,-85.4637867
Auburn University Federal Credit Union,Bank,,Auburn,AL,,,,,,32.580521,-85.4888491
Cadence Bank,Bank,807 East Glenn Avenue,Auburn,AL,36830,+1 334-821-2220,https://cadencebank.com/,,"Mo-Th 0830-1600, Fr 0830-1700",32.6094395,-85.4646175
Max Credit Union,Bank,336 North Gay Street,Auburn,AL,36830,,,,Mo-Th 9:00-16:00; Fr 9:00-17:00,32.6113184,-85.4796046
MidSouth Bank,Bank,519 East Glenn Avenue,Auburn,AL,36830,+1 334-887-6440,https://www.bankmidsouth.com/,,"Mo-Th 0900-1600, Fr 0900-1700",32.6094861,-85.4721423
PNC Bank,Bank,101 South College Street,Auburn,AL,36830,,,,,32.6063748,-85.4815381
Regions Bank,Bank,165 North College Street,Auburn,AL,,+1-334-321-7140,https://www.regions.com/locator/al/auburn/full-service-branch-165-north-college-st,,,32.6084213,-85.4821226
River Bank & Trust,Bank,1192 South Donahue Drive,Auburn,AL,36830,,,,,32.5841327,-85.489139
Southern States Bank,Bank,,Auburn,AL,,,,,,32.616822,-85.4643403
Truist,Bank,325 North Gay Street,Auburn,AL,36830,,,,Mo-Fr 9:00-17:00,32.6116477,-85.4803774
Wells Fargo,Bank,307 North Gay Street,Auburn,AL,36830,,,,Mo-Fr 09:00-17:00,32.6108255,-85.4803486
17-16 Bar,Bar/Pub,156 East Magnolia Avenue,Auburn,AL,36830,,,,,32.6063502,-85.480487
Draft House,Bar/Pub,,Auburn,AL,,,,,,32.6066929,-85.4803422
SkyBar,Bar/Pub,136 West Magnolia Avenue,Auburn,AL,36830,,,,,32.6069635,-85.4827846
Southeastern,Bar/Pub,West Magnolia Avenue,Auburn,AL,,,,,,32.6069283,-85.4823114
City Nails & Spa,Beauty/Salon,,Auburn,AL,,+1 334-826-5688,,,Mo-Sa 09:30-19:30,32.5759463,-85.4968118
Dimensions Salon,Beauty/Salon,,Auburn,AL,,,,,,32.6063874,-85.4802566
Luxury Nail Spa,Beauty/Salon,,Auburn,AL,,,,,,32.6068332,-85.481531
Nail Love,Beauty/Salon,300 North Dean Road,Auburn,AL,,+1-334-826-3511,,,"Mo-Tu,Th-Fr 09:00-18:00; Sa 10:00-16:00",32.6112381,-85.4634884
Palm Beach Tan,Beauty/Salon,814-A Annalue Drive,Auburn,AL,36830,,https://palmbeachtan.com/locations/AL/Auburn-Annalue-Drive,,"Su 12:00-20:00, Mo-Th 07:00-22:00, Fr 07:00-21:00, Sa 10:00-20:00",32.6118895,-85.4640334
Pretty Please Nail Salon,Beauty/Salon,,Auburn,AL,,,,,,32.6079663,-85.4819043
T - Nails,Beauty/Salon,1409 South College Street,Auburn,AL,36832,,,,,32.5806031,-85.4946753
Auburn Furniture,Bed,507 Opelika Road,Auburn,AL,36830,,,,,32.6142558,-85.4712785
James Bros Bikes,Bicycle,1100 South College Street,Auburn,AL,36832,+1-334-821-0555,https://www.jamesbrosbikes.com,,Mo 10:00-15:00; Tu-Fr 10:00-18:00; Sa 10:00-15:00,32.58499,-85.4902535
Auburn Oil Co. Booksellers,Bookstore,,Auburn,AL,,+1-334-246-3003,,,"Mo-Th 07:30-18:00; Fr,Sa 07:30-19:00; Su 09:00-18:00",32.6067438,-85.4807809
Auburn University Bookstore,Bookstore,351 Thach Concourse,Auburn,AL,36849,,,,,32.6037004,-85.4863232
Johnston & Malone Book Store,Bookstore,115 South College Street,Auburn,AL,36830,+1-334-887-7007,https://www.jmbooks.com/,,Mo-Fr 09:00-17:00; Sa 10:00-17:00,32.6060368,-85.4815276
Behind the Glass,Boutique,,Auburn,AL,,,,,,32.606393,-85.4801384
Therapy,Boutique,,Auburn,AL,,,,,,32.6063763,-85.4805444
Bowlero,Bowling Alley,719 Opelika Road,Auburn,AL,36830,+1-334-887-6573,,,"Tu-Th 11:00-24:00, Fr 11:00-01:00, Sa 12:00-01:00, Su 12:00-23:00",32.6168101,-85.4654039
Bizilia's Cafe,Cafe/Coffee,134 North College Street,Auburn,AL,36830,,,,,32.6075308,-85.4815336
Coffee Cat,Cafe/Coffee,124 Tichenor Avenue,Auburn,AL,36830,,,coffee_shop,,32.6079971,-85.4808117
Coffee Mafia,Cafe/Coffee,,Auburn,AL,,,,coffee_shop,,32.598147,-85.4801127
Corner Office,Cafe/Coffee,540 Devall Drive,Auburn,AL,36832,+1-334-649-7400,https://www.cornerofficeau.com/,coffee_shop,Mo-Fr 08:00-15:00,32.5867104,-85.4931009
Kung Fu Tea,Cafe/Coffee,116 North College Street,Auburn,AL,36830,,,bubble_tea,,32.6070868,-85.4815366
One Bike Coffee,Cafe/Coffee,1100 South College Street,Auburn,AL,36830,+1-334-707-3746,https://www.onebikecoffee.com/,coffee_shop,,32.5849829,-85.4902071
Prevail Union,Cafe/Coffee,,Auburn,AL,,,,coffee_shop,,32.6056918,-85.4815377
Ross House,Cafe/Coffee,,Auburn,AL,,,,,,32.6078531,-85.4747849
Starbucks,Cafe/Coffee,255 Heisman Drive,Auburn,AL,36849,+1 334-844-8423,https://www.starbucks.com/store-locator/store/10815/auburn-university-student-ctr-255-heisman-dr-auburn-al-36849-us,coffee_shop,,32.6024253,-85.4864291
The Cup & Saucer Market and Cafe,Cafe/Coffee,,Auburn,AL,,,,,,32.6146798,-85.4700528
The Stop,Cafe/Coffee,,Auburn,AL,,,,,,32.5777416,-85.489453
Well Red,Cafe/Coffee,223 Opelika Road,Auburn,AL,36830,+1-334-246-3021,https://www.wellredau.com/,coffee_shop;pastry,Mo-Th 07:00-21:00; Fr 07:00-22:00; Sa 08:00-22:00; Su 09:00-14:00,32.6125502,-85.4788855
